distrito,agrupacion,candidato,categoria
Buenos Aires,UNION CON FE,"26 - Francavilla, Dora Cecilia",Diputados Nacionales
Buenos Aires,UNION CON FE,"27 - Zalazar, Cayetano Ramon",Diputados Nacionales
Buenos Aires,UNION CON FE,"28 - Castro, Carlos Arturo",Diputados Nacionales
Buenos Aires,UNION CON FE,"29 - Romero, Ana Maria",Diputados Nacionales
Buenos Aires,UNION CON FE,"30 - Boraci, Raul Alfredo",Diputados Nacionales
Buenos Aires,UNION CON FE,"31 - Bezrutschko, Mariana",Diputados Nacionales
Buenos Aires,UNION CON FE,"32 - Poblet, Jesus Eduardo",Diputados Nacionales
Buenos Aires,UNION CON FE,"33 - Ibañez, Luis Adolfo",Diputados Nacionales
Buenos Aires,UNION CON FE,"34 - Portillo, Jaqueline",Diputados Nacionales
Buenos Aires,UNION CON FE,"35 - Aguilar, Manuel Roberto",Diputados Nacionales
Catamarca,ALIANZA FRENTE CIVICO Y SOCIAL,"1 - Brizuela Del Moral, Eduardo Segundo",Diputados Nacionales
Catamarca,ALIANZA FRENTE CIVICO Y SOCIAL,"2 - Juarez, Miriam Del Valle",Diputados Nacionales
Catamarca,ALIANZA FRENTE CIVICO Y SOCIAL,"3 - Diaz, Ursula Ornella",Diputados Nacionales
Catamarca,FRENTE PARA LA VICTORIA,"1 - Tomassi, Nestor Nicolas",Diputados Nacionales
Catamarca,FRENTE PARA LA VICTORIA,"2 - Moreta, Silvia Luz",Diputados Nacionales
Catamarca,FRENTE PARA LA VICTORIA,"3 - Gutierrez, Victor Octavio",Diputados Nacionales
Catamarca,FRENTE TERCERA POSICION - UNIDAD CATAMARQUEÑA,"1 - Barrionuevo, Jose Luis",Diputados Nacionales
Catamarca,FRENTE TERCERA POSICION - UNIDAD CATAMARQUEÑA,"2 - Moro Gradis, Del Valle",Diputados Nacionales
Catamarca,FRENTE TERCERA POSICION - UNIDAD CATAMARQUEÑA,"3 - Bustamante, Claudio David",Diputados Nacionales
Catamarca,OBRERO,"1 - Lopez, Ariel Antonio",Diputados Nacionales
Catamarca,OBRERO,"2 - Sosa, Sonia Juana",Diputados Nacionales
Catamarca,OBRERO,"3 - Moreno, Maria Estela",Diputados Nacionales
Chaco,DEL OBRERO,"1 - Garcia, Aldo Gabriel",Senadores Nacionales
Chaco,DEL OBRERO,"1 - Esquivel, Jorge Alberto",Diputados Nacionales
Chaco,DEL OBRERO,"2 - Gauna, Gisela Carolina",Senadores Nacionales
Chaco,DEL OBRERO,"2 - Gomez, Rocio Griselda",Diputados Nacionales
Chaco,DEL OBRERO,"3 - Pereyra, Eduardo Eloy",Diputados Nacionales
Chaco,DEL OBRERO,"4 - Deniz, Oscar Humberto",Diputados Nacionales
Chaco,FRENTE PARA LA VICTORIA,"1 - Aguilar, Eduardo Alberto",Senadores Nacionales
Chaco,FRENTE PARA LA VICTORIA,"1 - Pedrini, Juan Manuel",Diputados Nacionales
Chaco,FRENTE PARA LA VICTORIA,"2 - Pilatti Vergara, Maria Ines P.E.",Senadores Nacionales
Chaco,FRENTE PARA LA VICTORIA,"2 - Mendoza, Sandra Marcela",Diputados Nacionales
Chaco,FRENTE PARA LA VICTORIA,"3 - Martinez Campos, Gustavo J.E.",Diputados Nacionales
Chaco,FRENTE PARA LA VICTORIA,"4 - Chomiak, Maria Luisa",Diputados Nacionales
Chaco,UNION POR CHACO,"1 - Rozas, Angel",Senadores Nacionales
Chaco,UNION POR CHACO,"1 - Tejedor, Miguel",Diputados Nacionales
Chaco,UNION POR CHACO,"2 - Gonzalez, Delia",Senadores Nacionales
Chaco,UNION POR CHACO,"2 - Terada, Alicia",Diputados Nacionales
Chaco,UNION POR CHACO,"3 - Veleff, Adrian",Diputados Nacionales
Chaco,UNION POR CHACO,"4 - Salgado, Marcelo",Diputados Nacionales
Chubut,COALICION CIVICA-AFIRMACION PARA UNA REPUBLICA IGUALITARIA -ARI,"1 - Reinoso, Carlos Omar",Diputados Nacionales
Chubut,COALICION CIVICA-AFIRMACION PARA UNA REPUBLICA IGUALITARIA -ARI,"2 - Bruni, Dora Rosa",Diputados Nacionales
Chubut,DE ACCION CHUBUTENSE,"1 - Das Neves, Mario",Diputados Nacionales
Chubut,DE ACCION CHUBUTENSE,"2 - Lagoria, Elia Nelly",Diputados Nacionales
